group,machine,generation,property,timing_value,figure,published,citation,locator,scope,validation,count,reason
ECE,artemisia,Sapphire Rapids,L1-like capacity,48--52 KiB,\ref{fig:capacity-boxes},48 KiB,scspr,Table 1,core,inside bracket; PMU clean,Yes*,Qualified timing inference agrees with published value.
ECE,artemisia,Sapphire Rapids,L1 conditional ways,12,\ref{fig:l1-boxes},12 ways,"p3fog,scopt","Fog Table 13.1, p.174; Intel section 2.1 identifies Golden Cove",Golden Cove family,matches,Yes*,Qualified timing inference agrees with published value.
ECE,artemisia,Sapphire Rapids,L2-like capacity,2048--2304 KiB,\ref{fig:capacity-boxes},2048 KiB,scspr,Table 1,core,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,artemisia,Sapphire Rapids,L2 conditional ways,16,\ref{fig:l2-conflict},not established,scspr,Table 1 gives capacity only,core,source lacks way count,Hold,Available cited exact-generation overview does not establish associativity; no completed PMU conflict validation.
ECE,artemisia,Sapphire Rapids,LLC-like bracket,24--26 MiB,\ref{fig:capacity-boxes},52.5 MiB,sc5420,CPU Specifications,socket,outside bracket,No,Published size lies outside frozen bracket.
ECE,artemisia,Sapphire Rapids,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,"p3fog,scopt","Fog Table 13.1, p.174; Intel section 2.1",Golden Cove family,matches,Yes*,Qualified timing inference agrees with published value.
ECE,charnwood,Skylake,L1-like capacity,32--36 KiB,\ref{fig:capacity-boxes},32 KiB,scopt,"Table 2-14, p.2-32",core-family comparison,inside bracket; PMU weak,Yes*,Qualified timing inference agrees with published value.
ECE,charnwood,Skylake,L1 conditional ways,8,\ref{fig:l1-boxes},8 ways,scopt,"Table 2-14, p.2-32",core-family comparison,matches,Yes*,Qualified timing inference agrees with published value.
ECE,charnwood,Skylake,L2-like capacity,256--288 KiB,\ref{fig:capacity-boxes},256 KiB,scopt,"Table 2-14, p.2-32",core-family comparison,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,charnwood,Skylake,L2 conditional ways,4,\ref{fig:l2-conflict},4 ways,scopt,"Table 2-14, p.2-32",core-family comparison,matches; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,charnwood,Skylake,LLC-like bracket,4--8 MiB,\ref{fig:capacity-boxes},8 MiB,sci7,i7-6700 row,socket,inside; domain unproven,Hold,Bracket containment does not establish physical LLC size or sharing domain.
ECE,charnwood,Skylake,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,scopt,"Table 2-14, p.2-32",Skylake client lineage,matches,Yes*,Qualified timing inference agrees with published value.
ECE,crux,Coffee Lake R.,L1-like capacity,32--36 KiB,\ref{fig:capacity-boxes},32 KiB,scnano,Core i7-8700K entries (family comparator),core-family comparison,inside bracket; PMU clean,Yes*,Qualified timing inference agrees with published value.
ECE,crux,Coffee Lake R.,L1 conditional ways,8,\ref{fig:l1-boxes},8 ways,scnano,Core i7-8700K entries (family comparator),core-family comparison,matches,Yes*,Qualified timing inference agrees with published value.
ECE,crux,Coffee Lake R.,L2-like capacity,256--288 KiB,\ref{fig:capacity-boxes},256 KiB,scnano,Core i7-8700K entries (family comparator),core-family comparison,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,crux,Coffee Lake R.,L2 conditional ways,4,\ref{fig:l2-conflict},4 ways,scnano,Core i7-8700K entries (family comparator),core-family comparison,matches; mixed-ring only,Hold,Numeric match does not isolate lower-level congruence/residency in mixed-ring test.
ECE,crux,Coffee Lake R.,LLC-like bracket,4--16 MiB,\ref{fig:capacity-boxes},12 MiB,sc9700,CPU Specifications,socket,inside; domain unproven,Hold,Bracket containment does not establish physical LLC size or sharing domain.
ECE,crux,Coffee Lake R.,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,scopt,"Table 2-14, p.2-32",Skylake client lineage,matches,Yes*,Qualified timing inference agrees with published value.
ECE,ookay,Kaby Lake,L1-like capacity,32--36 KiB,\ref{fig:capacity-boxes},32 KiB,scnano,Core i7-7700 entries,exact model,inside bracket; PMU clean,Yes*,Qualified timing inference agrees with published value.
ECE,ookay,Kaby Lake,L1 conditional ways,8,\ref{fig:l1-boxes},8 ways,scnano,Core i7-7700 entries,exact model,matches,Yes*,Qualified timing inference agrees with published value.
ECE,ookay,Kaby Lake,L2-like capacity,256--288 KiB,\ref{fig:capacity-boxes},256 KiB,scnano,Core i7-7700 entries,exact model,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,ookay,Kaby Lake,L2 conditional ways,4,\ref{fig:l2-conflict},4 ways,scnano,Core i7-7700 entries,exact model,matches; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,ookay,Kaby Lake,LLC-like bracket,5--5.5 MiB,\ref{fig:capacity-boxes},8 MiB,sci7,i7-7700 row,socket,outside bracket,No,Published size lies outside frozen bracket.
ECE,ookay,Kaby Lake,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,scopt,"Table 2-14, p.2-32",Skylake client lineage,matches,Yes*,Qualified timing inference agrees with published value.
ECE,upgrade,Coffee Lake,L1-like capacity,32--36 KiB,\ref{fig:capacity-boxes},32 KiB,scnano,Core i7-8700K entries (family comparator),core-family comparison,inside bracket; PMU clean,Yes*,Qualified timing inference agrees with published value.
ECE,upgrade,Coffee Lake,L1 conditional ways,8,\ref{fig:l1-boxes},8 ways,scnano,Core i7-8700K entries (family comparator),core-family comparison,matches,Yes*,Qualified timing inference agrees with published value.
ECE,upgrade,Coffee Lake,L2-like capacity,256--288 KiB,\ref{fig:capacity-boxes},256 KiB,scnano,Core i7-8700K entries (family comparator),core-family comparison,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,upgrade,Coffee Lake,L2 conditional ways,4,\ref{fig:l2-conflict},4 ways,scnano,Core i7-8700K entries (family comparator),core-family comparison,matches; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,upgrade,Coffee Lake,LLC-like bracket,2--16 MiB,\ref{fig:capacity-boxes},12 MiB,sci7,i7-8700 row,socket,inside; refined edge differs,Hold,12 MiB is inside the original 2--16 MiB envelope but outside the 7.6875--8.125 MiB timing departure; no physical LLC claim.
ECE,upgrade,Coffee Lake,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,scopt,"Table 2-14, p.2-32",Skylake client lineage,matches,Yes*,Qualified timing inference agrees with published value.
Hazel,E5-2650 v3,Haswell,L1-like capacity,32--36 KiB,\ref{fig:p3capacity},32 KiB,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",private core data cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,E5-2650 v3,Haswell,L1 conditional ways,8,\ref{fig:p3conflict},8 ways,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",core organization,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,E5-2650 v3,Haswell,L2-like capacity,256--288 KiB,\ref{fig:p3capacity},256 KiB,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",private core unified cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,E5-2650 v3,Haswell,L2 conditional ways,8,\ref{fig:p3conflict},8 ways,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",core-family reference,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,E5-2650 v3,Haswell,LLC-like bracket,16--128 MiB,\ref{fig:p3capacity},25 MiB,p3intelhaswell,E5-2650 v3 row,socket shared LLC; correspondence to measured domain conditional,inside; domain unproven,Hold,Domain correspondence remains unverified.
Hazel,E5-2650 v3,Haswell,Visible granularity,64 B,\ref{fig:p3spatial},64 B,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",published core line granularity,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,Gold 6226R,Cascade Lake,L1-like capacity,32--36 KiB,\ref{fig:p3capacity},32 KiB,p3intel,Table 1,private core data cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,Gold 6226R,Cascade Lake,L1 conditional ways,8,\ref{fig:p3conflict},8 ways,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",shared core lineage; no separate SKU-specific claim,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,Gold 6226R,Cascade Lake,Visible granularity,64 B,\ref{fig:p3spatial},64 B,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",published core line granularity,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,Platinum 8358,Ice Lake-SP,L1-like capacity,48--52 KiB,\ref{fig:p3capacity},48 KiB,p3intel,Table 1,private core data cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,Platinum 8358,Ice Lake-SP,L1 conditional ways,12,\ref{fig:p3conflict},12 ways,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",core organization,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,Platinum 8358,Ice Lake-SP,Visible granularity,64 B,\ref{fig:p3spatial},64 B,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only",published core line granularity,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9654,Genoa / Zen 4,L1-like capacity,32--36 KiB,\ref{fig:p3capacity},32 KiB,p3amd4,"58011 rev1.4, sections 2.5–2.8, printed pp4–6 (PDF pp10–12)",private core data cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9654,Genoa / Zen 4,L1 conditional ways,8,\ref{fig:p3conflict},8 ways,p3amd4,"58011 rev1.4, sections 2.5–2.8, printed pp4–6 (PDF pp10–12)",core organization,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9654,Genoa / Zen 4,L2-like capacity,1024--1152 KiB,\ref{fig:p3capacity},1024 KiB,p3amd4,"58011 rev1.4, sections 2.5–2.8, printed pp4–6 (PDF pp10–12)",private core unified cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9654,Genoa / Zen 4,LLC-like bracket,8--64 MiB,\ref{fig:p3capacity},32 MiB,p3amd4,"58011 rev1.4, sections 2.5–2.8, printed pp4–6 (PDF pp10–12)",one 8-core CCD; not 384 MiB package sum,inside; domain unproven,Hold,Domain correspondence remains unverified.
Hazel,EPYC 9654,Genoa / Zen 4,Visible granularity,64 B,\ref{fig:p3spatial},64 B,p3amd4,"58011 rev1.4, sections 2.5–2.8, printed pp4–6 (PDF pp10–12)",published core line granularity,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9655,Turin / Zen 5,L1-like capacity,48--52 KiB,\ref{fig:p3capacity},48 KiB,p3amd5,"70353 revB; printed pp6,8 (PDF pp6,8)",private core data cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9655,Turin / Zen 5,L1 conditional ways,12,\ref{fig:p3conflict},12 ways,p3fog,"Table 25.1, p.258 (Zen 5 core only)",core organization,matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9655,Turin / Zen 5,L2-like capacity,1024--1152 KiB,\ref{fig:p3capacity},1024 KiB,p3amd5,"70353 revB; printed pp6,8 (PDF pp6,8)",private core unified cache,inside bracket,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
Hazel,EPYC 9655,Turin / Zen 5,LLC-like bracket,32--64 MiB,\ref{fig:p3capacity},32 MiB,p3amd5,"70353 revB; printed pp6,8 (PDF pp6,8)",one 8-core CCD; not 384 MiB package sum,inside; domain unproven,Hold,Domain correspondence remains unverified.
Hazel,EPYC 9655,Turin / Zen 5,Visible granularity,64 B,\ref{fig:p3spatial},64 B,p3fog,"2026-05-23 edition: Tables 10.2 (p147), 11.2 (p160), 12.3 (p169), 25.1 (p258); generic core references only","Zen5 core 64-byte line; generic core reference, not the guide’s SKU-dependent LLC capacity",matches,Yes*,Qualified timing candidate agrees with published comparison; no physical latency or extra cache-level claim.
